"Id","Column_B","Name","Shortcut","ShareNumbers","SharePrice","Date","Description","Column_I","Column_J","Column_K","Column_L","Href","PhoneNumber","Email","FullName","HeadAccount","Profile","Address","HrefStatus","VoteNumbers","Date2","Column_W","Column_X","Volumen20"
"2","3","Agora","AGO","50937386","7.3399999999999999","2013-05-20 00:00:00","Oferta medialna Spółki obejmuje gazety, czasopisma, sieć kin, reklamę zewnętrzną, przedsięwzięcia internetowe i radiowe, a także sprzedaż wyjątkowych kolekcji książek z płytami muzycznymi i filmowymi. Flagowym przedsięwzięciem spółki jest "Gazeta Wyborcza"  - największa opiniotwórcza gazeta w Polsce. Jest także wydawcą bezpłątnego dziennika "Metro".Posiada także dominujące udziały w spółce AMS (reklama Out-Of-Home), Helios S.A. (trzeci operator kin w Polsce). Agora dynamicznie rozwija swoją dzia","PLAGORA00067","16","67372042","3","www.agora.pl","(022) 555-60-17","investor@agora.pl","Agora S.A.","Wanda Rapaczyńska","Wydawanie gazet (22.10)","ul. Czerska 8/10, 00-732 Warszawa","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/ago.pdf">Pobierz</a></td></tr>","68063786","2012-06-22 00:00:00","1. Otwarcie Walnego Zgromadzenia.
2. Wybór Przewodniczącego Walnego Zgromadzenia, komisji skrutacyjnej, przyjęcie porządku obrad oraz inne sprawy organizacyjne.
3. Przedstawienie przez Zarząd rocznego jednostkowego sprawozdania finansowego i sprawozdania Zarządu z działalności Spółki oraz rocznego skonsolidowanego sprawozdania finansowego i sprawozdania z działalności grupy kapitałowej w roku obrotowym 2011.
4. Przedstawienie uchwały Rady Nadzorczej w sprawie zwięzłej oceny sytuacji Spółki w rok","2012-08-01 00:00:00","316525.84675000008"
"3","3","Asseco Poland","ACP","83000303","41.700000000000003","2013-05-20 00:00:00","Asseco Poland S.A. jest największą spółką informatyczną notowaną na GPW w Warszawie. Jako międzynarodowy integrator IT, spółka jest ważnym graczem na europejskim rynku producentów oprogramowania. Grupa Asseco znalazła się w pierwszej dziesiątce w rankingu "TOP100 European Software Vendors" (Truffle Capital 2011). Skupia się na produkcji i rozwoju innowacyjnego oprogramowania i jako największy software house z polskim kapitałem skutecznie konkuruje z liderami rynku światowego. Jako jedna z nielic","PLSOFTB00016","12","132102","2","www.asseco.pl","(17) 888-55-55","inwestor@asseco.pl; info@asseco.pl; pr@asseco.pl","Asseco Poland S.A.","Adam Góral","Doradztwo w zakresie oprogramowania i dostarczanie oprogramowania (72.20)","ul. Olchowa 14, 35-322 RZESZÓW","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/acp.pdf">Pobierz</a></td></tr>","83000303","2013-04-24 00:00:00","1. Otwarcie obrad i wybór Przewodniczącego Walnego Zgromadzenia.
2. Stwierdzenie prawidłowości zwołania Walnego Zgromadzenia i jego zdolności do podejmowania uchwał, powołanie Komisji Skrutacyjnej.
3. Przyjęcie porządku obrad.
4. Rozpatrzenie sprawozdania z działalności Asseco Poland S.A. w roku obrotowym 2012.
5. Rozpatrzenie sprawozdania finansowego Asseco Poland S.A. za rok obrotowy 2012.
6. Zapoznanie się z treścią opinii i raportem biegłego rewidenta z badania sprawozdania finansowego Assec","2012-08-01 00:00:00","11324190.51475"
"4","3","Bioton","BIO","8386785174","4.0000000000000001E-2","2013-05-20 00:00:00","Spółka zajmuje się produkcją oraz dystrybucją produktów biotechnologocznych oraz leków generycznych. Dynamicznie rozwijająca się, wytwarzając nowoczesne leki, wśród nich rekombinowaną insulinę ludzką i jej formy farmaceutyczne, preparaty z grupy antybiotyków cefalosporynowych, aminoglikozydowych oraz makrolidowych.","PLBIOTN00029","25","10","3","www.bioton.pl","(022) 721-40-00","info@bioton.pl","Bioton S.A.","Sławomir Ziegert","Produkcja podstawowych substancji farmaceutycznych (21.10)","ul. Starościńska 5, 02-516 Warszawa","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/BIO.pdf">Pobierz</a></td></tr>","8386785174","2013-04-03 00:00:00","1. Otwarcie obrad NWZ;
2. Sporządzenie listy obecności, stwierdzenie prawidłowości zwołania NWZ i jego zdolności do podejmowania uchwał;
3. Przyjęcie porządku obrad NWZ;
4. Podjęcie uchwały w sprawie emisji warrantów subskrypcyjnych, warunkowego podwyższenia kapitału zakładowego Spółki, wyłączenia prawa poboru dotychczasowych akcjonariuszy Spółki oraz zmiany Statutu Spółki;
5. Zamknięcie obrad NWZ.","2012-08-01 00:00:00","466531.81400000007"
"5","3","BRE Bank","BRE","42141986","371","2013-05-20 00:00:00","Spółka zaliczana jest do grona największych instytucji finansowych w Polsce. Należy do czołówki banków inwestycyjnych specjalizujących się w kompleksowej obsłudze przedsiębiorstw. Poprzez platformy MultiBank i mBank obecny jest również na rynku detalicznych.","PLBRE0000012","2","4102","2","www.brebank.com.pl","(22) 829-00-00","relacje.inwestorskie@brebank.pl","BRE Bank S.A.","Cezary Stypułkowski","Działalność bankowa (65.12)","ul. Senatorska 18, 00-950 Warszawa","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/bre.pdf">Pobierz</a></td></tr>","42141986","2013-04-11 00:00:00","1. Otwarcie obrad.
2. Wybór Przewodniczącego Zgromadzenia.
3. Wybór Komisji Skrutacyjnej.
4. Wystąpienie Prezesa Zarządu BRE Banku SA, przedstawienie sprawozdania Zarządu z działalności BRE Banku SA oraz sprawozdania finansowego BRE Banku SA za rok obrotowy 2012, sprawozdania Zarządu dotyczącego działalności Grupy BRE Banku oraz skonsolidowanego sprawozdania finansowego Grupy BRE Banku za rok 2012.
5. Wystąpienie Przewodniczącego Rady Nadzorczej BRE Banku SA i przedstawienie sprawozdania Rady Na","2012-08-01 00:00:00","6239924.8599999985"
"6","3","Bank Zachodni WBK","BZW","93545089","268","2013-05-20 00:00:00","Bank Zachodni WBK S.A. jest komercyjnym bankiem uniwersalnym, oferującym szeroki zakres usług bankowych dla osób fizycznych i prawnych w obrocie krajowym i zagranicznym. Bank powstał w 2001 w wyniku połączenia Banku Zachodniego i Wielkopolskiego Banku Kredytowego. Sieć placówek Banku jest zlokalizowana przede wszystkim w zachodniej części kraju oraz w najważniejszych centrach gospodarczych Polski.","PLBZ00000044","2","4096","2","www.bzwbk.pl","(71) 370-10-00","rzecznik.prasowy@bzwbk.pl; inwestor.relations@bzwbk.pl","Bank Zachodni WBK S.A.","Mateusz Morawiecki","Działalność bankowa (65.12)","Rynek 9/11, 50-950 Wrocław","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/bzw.pdf">Pobierz</a></td></tr>","93545089","2012-07-30 00:00:00","1. Otwarcie Nadzwyczajnego Walnego Zgromadzenia.
2. Wybór Przewodniczącego Nadzwyczajnego Walnego Zgromadzenia.
3. Stwierdzenie prawidłowości zwołania Nadzwyczajnego Walnego Zgromadzenia oraz zdolności do podejmowania uchwał.
4. Przyjęcie porządku obrad.
5. Przedstawienie istotnych elementów treści planu połączenia, sprawozdania Zarządu z dnia 11 maja 2012 r. uzasadniającego połączenie, opinii biegłego oraz wszelkich istotnych zmian w zakresie aktywów i pasywów, które nastąpiły między dniem spor","2012-08-01 00:00:00","16592422.921249997"
"7","3","Rovese (Cersanit)","RSE","811440159","1.5","2013-05-20 00:00:00","ROVESE S.A. to jedna z wiodących firm produkcyjnych na rynku europejskim z polskim kapitałem. Przedmiotem podstawowej działalności Grupy Rovese jest produkcja i dystrybucja wyrobów wykorzystywanych do wykańczania i wyposażenia łazienek (produktów ceramiki sanitarnej, płytek ceramicznych, kabin prysznicowych, wanien i brodzików akrylowych, mebli łazienkowych oraz innych artykułów około łazienkowych). Od 1998 roku spółka notowana jest na Giełdzie Papierów Wartościowych w Warszawie. Działalność Gru","PLCRSNT00011","27","18","3","www.cersanit.com.pl","(041) 315-80-03","cersanit@cersanit.com.pl","Rovese S.A.","Wojciech Stankiewicz","Produkcja ceramicznych materiałów budowlanych (23.30)","ul. Zagnańska 27, 25-528 Kielce","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/cst.pdf">Pobierz</a></td></tr>","811440159","2012-07-20 00:00:00","1. Otwarcie Walnego Zgromadzenia;
2. Wybór Przewodniczącego Walnego Zgromadzenia;
3. Sporządzenie listy obecności;
4. Stwierdzenie prawidłowości zwołania Walnego Zgromadzenia i jego zdolności  do podejmowania uchwał;
5. Przyjęcie porządku obrad;
6. Podjęcie uchwał w przedmiocie:
I. podwyższenia kapitału zakładowego Spółki w drodze emisji akcji serii I, z zachowaniem prawa poboru dotychczasowych Akcjonariuszy Spółki przypadającego na dzień 28 sierpnia 2012 roku wraz z upoważnieniem dla Zarządu do","2012-08-01 00:00:00","1571250.1638750001"
"8","5","CEZ","CEZ","537989759","88.900000000000006","2013-05-20 00:00:00","Spółka zajmuje się produkcją Energii elektrycznej oraz jej dystrybucja i sprzedaż, łącznie z udzieleniem współzależnych usług pomocniczych. Spółka zajmuje się także produkcją, dystrybucją i sprzedażą ciepła, wydobyciem i przerobem surowców, inżynierią budowlaną, konserwacją i rozszerzaniem elektrowni oraz sieci dystrybucji.","CZ0005112300","6","67174402","2","www.cez.cz","(420) 211-041-111","cez@cez.cz","CEZ a.s.","Daniel Benes","Wytwarzanie i dystrybucja energii elektrycznej (40.10)","Duhova 2/1444, 140 53 Praha 4","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/cez.pdf">Pobierz</a></td></tr>","537989759","","","2012-08-01 00:00:00","764529.01037500007"
"9","3","Getin Holding","GTN","732800434","2.5499999999999998","2013-05-20 00:00:00","Spółka inwestuje w podmioty  o dużym potencjale rozwoju, działające w sektorze usług finansowych dla klientów indywidualnych oraz mikro i małych przedsiębiorstw. W skład GGetin Holding S.A. wchodzą m.in. firmy: Getin Noble Bank SA, GETIN Leasing, Inrofactor, Open Finance.","PLGSPR000014","2","10","2","www.getin.pl","(071) 797-77-00","gielda@getin.pl","Getin Holding S.A.","Rafał Juszczak","Pośrednictwo finansowe (65.23)","ul. Powstańców Śl. 2-4, 53-333 Wrocław","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/gtn.pdf">Pobierz</a></td></tr>","732800434","2013-04-17 00:00:00","1. Otwarcie obrad.
2. Wybór Przewodniczącego.
3. Stwierdzenie prawidłowości zwołania Walnego Zgromadzenia oraz jego zdolności do podejmowania uchwał.
4. Przyjęcie porządku obrad.
5. Przedstawienie dokonanej przez Radę Nadzorczą zwięzłej oceny sytuacji Spółki zawierającej ocenę systemu kontroli wewnętrznej i systemu zarządzania ryzykiem istotnym dla Spółki oraz sprawozdania z działalności Rady Nadzorczej za rok obrotowy 2012 i dokonanej przez Radę Nadzorczą oceny sprawozdania Zarządu z działalnoś","2012-08-01 00:00:00","1755652.5582500002"
"10","3","Globe Trade Center","GTC","319372990","7.3499999999999996","2013-05-20 00:00:00","Grupa Kapitałowa Globe Trade Centre S.A. ("GTC") jest jednym z czołowych deweloperów w Europie Środkowej, Wschodniej i Południowej. Obecnie aktywnie działa w Polsce, na Węgrzech, Czechach, w Rumunii, Serbii, Chorwacji, Słowacji, Bułgarii, Rosji i na Ukrainie. Została założona w 1994 r. i jest obecna na rynkach międzynarodowych od ponad 15 lat. Grupa posiada portfel nieruchomości składający się z inwestycji w czterech sektorach rynku nieruchomości: (i) budynki i centra biurowe, (ii) centra handlo","PLGTC0000037","5","32774","2","www.gtc.com.pl","(022) 606-07-00","ir@gtc.com.pl","Globe Trade Centre S.A.","Alain Ickovicks","Wynajem nieruchomości własnych i dzierżawionych (70.20)","ul. Wołowska 5, 02-675 Warszawa","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/gtc.pdf">Pobierz</a></td></tr>","319372990","2013-04-24 00:00:00","1. Otwarcie Walnego Zgromadzenia;
2. Wybór Przewodniczącego Walnego Zgromadzenia;
3. Stwierdzenie prawidłowości zwołania Walnego Zgromadzenia oraz jego zdolności do podejmowania uchwał i przyjęcie porządku obrad;
4. Podjecie uchwały w sprawie rozpatrzenia i zatwierdzenia sprawozdania finansowego Spółki za rok obrotowy 2012 oraz sprawozdania Zarządu z działalności Spółki w roku obrotowym 2012;
5. Podjęcie uchwały w sprawie rozpatrzenia i zatwierdzenia skonsolidowanego sprawozdania finansowego Gru","2012-08-01 00:00:00","3458007.1237499998"
"11","3","KGHM Polska Miedź","KGH","200000000","138","2013-05-20 00:00:00","Spółka jest szóstym producentem miedzi elektrolitycznej i drugim srebra na świecie. Posiada bezpośrednio udziały i akcje w 19 spółkach, działających w różnych obszarach produkcyjno-usługowych.Grupa liczy ponad 30 spółek, które prowadzą głównie działalność wspomagającą podstawowy ciąg technologiczny KGHM. Istotnymi aktywami są także akcje spółek telekomunikacyjnych.","PLKGHM000017","44","12583942","2","www.kghm.pl","(076) 74-78-301","ir@kghm.pl","KGHM Polska Miedź S.A.","Herbert Wirth","Kopalnictwo rud metali nieżelaznych (13.20)","ul. Marii Skłodowskiej-Curie 48, 59-301 Lubin","<tr><td>Statut spółki :</td><td><a href="http://www.analizyontime.pl/Statuty/kgh.pdf">Pobierz</a></td></tr>","200000000","2012-11-21 00:00:00","1) Otwarcie Nadzwyczajnego Walnego Zgromadzenia.
2) Wybór Przewodniczącego Nadzwyczajnego Walnego Zgromadzenia.
3) Stwierdzenie prawidłowości zwołania Nadzwyczajnego Walnego Zgromadzenia oraz jego zdolności do podejmowania uchwał.
4) Przyjęcie porządku obrad.
5) Podjęcie uchwał w sprawie powołania członków Rady Nadzorczej KGHM Polska Miedź S.A. wybieranych przez pracowników Spółki.
6) Zamknięcie obrad.","2012-08-01 00:00:00","129637935.32437499"
